code_rome;intitule_rome;code_rncp;intitule_rncp;niveau_rncp
M1201;Analyse et ingénierie financière;RNCP40117;Ingénieur diplômé de l’École nationale supérieure d'informatique et de mathématiques appliquées de l'Institut polytechnique de Grenoble;NIV7
M1201;Analyse et ingénierie financière;RNCP41283;Ingénieur diplômé de l’École Nationale Supérieure d’Informatique pour l’Industrie et l’Entreprise;NIV7
M1202;Audit et contrôle comptables et financiers;RNCP36741;Expert en contrôle de gestion, audit et gestion de système d'information (MS);NIV7
M1204;Contrôle de gestion;RNCP36741;Expert en contrôle de gestion, audit et gestion de système d'information (MS);NIV7
M1205;Direction administrative et financière;RNCP36741;Expert en contrôle de gestion, audit et gestion de système d'information (MS);NIV7
M1206;Management de groupe ou de service comptable;RNCP36741;Expert en contrôle de gestion, audit et gestion de système d'information (MS);NIV7
M1206;Management de groupe ou de service comptable;RNCP39486;Mathématiques et informatique appliquées aux sciences humaines et sociales - MIASHS (fiche nationale);NIV7
M1302;Direction de petite ou moyenne entreprise;RNCP37663;Chef d'entreprise - développeur de PME;NIV6
M1302;Direction de petite ou moyenne entreprise;RNCP38637;Ingénieur diplômé de l'Ecole nationale supérieure Mines-Télécom Atlantique Bretagne-Pays de la Loire de l'Institut Mines-Télécom, spécialité réseaux et télécommunications;NIV7
M1402;Conseil en organisation et management d'entreprise;RNCP40046;Intelligence Artificielle appliquée aux enjeux sociétaux;NIV7
M1402;Conseil en organisation et management d'entreprise;RNCP40533;Ingénieur spécialisé en économie régénérative, diplômé de l’École nationale supérieure d'informatique et de mathématiques appliquées de l’Institut polytechnique de Grenoble;NIV7
M1402;Conseil en organisation et management d'entreprise;RNCP40791;Systèmes d’information, Réseaux et Numérique;NIV7
M1402;Conseil en organisation et management d'entreprise;RNCP40952;Ingénieur diplômé de l'Ecole Polytechnique universitaire de l'Université Paris-Saclay, spécialité Informatique;NIV7
M1402;Conseil en organisation et management d'entreprise;RNCP41993;Architecte en intelligence artificielle;NIV7
M1402;Conseil en organisation et management d'entreprise;RNCP42296;Manager de la performance des organisations par la data;NIV7
M1403;Études et prospectives socio-économiques;RNCP37837;Data analyst;NIV6
M1403;Études et prospectives socio-économiques;RNCP38068;Diplôme d’études supérieures en IA, Data et Management;NIV6
M1403;Études et prospectives socio-économiques;RNCP38616;Concepteur développeur en intelligence artificielle et analyse big data;NIV6
M1403;Études et prospectives socio-économiques;RNCP39333;Ingénieur diplômé de l’École Polytechnique Universitaire de Sorbonne Université, spécialité Mathématiques Appliquées et Informatique;NIV7
M1403;Études et prospectives socio-économiques;RNCP39486;Mathématiques et informatique appliquées aux sciences humaines et sociales - MIASHS (fiche nationale);NIV7
M1403;Études et prospectives socio-économiques;RNCP39541;Ingénieur diplômé du Conservatoire national des arts et métiers, spécialité Science de la donnée et intelligence artificielle;NIV7
M1403;Études et prospectives socio-économiques;RNCP39591;Manager en data marketing;NIV7
M1403;Études et prospectives socio-économiques;RNCP40117;Ingénieur diplômé de l’École nationale supérieure d'informatique et de mathématiques appliquées de l'Institut polytechnique de Grenoble;NIV7
M1403;Études et prospectives socio-économiques;RNCP40513;Sciences et Ingénierie - Informatique pour la Santé;NIV6
M1403;Études et prospectives socio-économiques;RNCP40514;Sciences et ingénierie - Informatique et Systèmes Numériques;NIV6
M1403;Études et prospectives socio-économiques;RNCP40551;Chef de projets en intelligence artificielle et sciences des données (MS);NIV7
M1403;Études et prospectives socio-économiques;RNCP40598;Développeur économique territorial (MS);NIV7
M1403;Études et prospectives socio-économiques;RNCP40747;Titre ingénieur - Ingénieur diplômé de l'Ecole Polytechnique universitaire de l'Université de Lille, spécialité Informatique et mathématiques appliquées;NIV7
M1403;Études et prospectives socio-économiques;RNCP40791;Systèmes d’information, Réseaux et Numérique;NIV7
M1403;Études et prospectives socio-économiques;RNCP40806;Mathématiques et informatique appliquées aux sciences humaines et sociales (fiche nationale);NIV6
M1403;Études et prospectives socio-économiques;RNCP40964;Ingénieur diplômé de l’Institut national universitaire Jean-François-Champollion, spécialité informatique pour la santé;NIV7
