code_rome;intitule_rome;code_rncp
M1202;Audit et contrôle comptables et financiers;36741
M1204;Contrôle de gestion;36741
M1205;Direction administrative et financière;36741
M1206;Management de groupe ou de service comptable;36741
M1206;Management de groupe ou de service comptable;39486
M1302;Direction de petite ou moyenne entreprise;37663
M1402;Conseil en organisation et management d'entreprise;40533
M1402;Conseil en organisation et management d'entreprise;40791
M1402;Conseil en organisation et management d'entreprise;41993
M1403;Études et prospectives socio-économiques;37837
M1403;Études et prospectives socio-économiques;38616
M1403;Études et prospectives socio-économiques;39486
M1403;Études et prospectives socio-économiques;39591
M1403;Études et prospectives socio-économiques;40791
M1403;Études et prospectives socio-économiques;41993
M1705;Marketing;37816
M1705;Marketing;38047
M1705;Marketing;38472
M1705;Marketing;39591
M1705;Marketing;39974
M1705;Marketing;40150
M1705;Marketing;40851
M1706;Promotion des ventes;40851
M1707;Stratégie commerciale;40851
M1801;Administration de systèmes d'information;35476
M1801;Administration de systèmes d'information;35502
M1801;Administration de systèmes d'information;35970
M1801;Administration de systèmes d'information;36052
M1801;Administration de systèmes d'information;36061
M1801;Administration de systèmes d'information;36075
M1801;Administration de systèmes d'information;36462
M1801;Administration de systèmes d'information;36501
M1801;Administration de systèmes d'information;37485
M1801;Administration de systèmes d'information;37488
M1801;Administration de systèmes d'information;37746
M1801;Administration de systèmes d'information;38004
M1801;Administration de systèmes d'information;38140
M1801;Administration de systèmes d'information;38434
M1801;Administration de systèmes d'information;38436
M1801;Administration de systèmes d'information;38461
M1801;Administration de systèmes d'information;38478
M1801;Administration de systèmes d'information;38779
M1801;Administration de systèmes d'information;38964
M1801;Administration de systèmes d'information;38997
M1801;Administration de systèmes d'information;39278
M1801;Administration de systèmes d'information;39425
M1801;Administration de systèmes d'information;39490
M1801;Administration de systèmes d'information;39611
M1801;Administration de systèmes d'information;40102
M1801;Administration de systèmes d'information;40116
M1801;Administration de systèmes d'information;40123
M1801;Administration de systèmes d'information;40234
M1801;Administration de systèmes d'information;40329
M1801;Administration de systèmes d'information;40356
M1801;Administration de systèmes d'information;40640
M1801;Administration de systèmes d'information;40864
M1802;Expertise et support en systèmes d'information;35475
M1802;Expertise et support en systèmes d'information;35970
M1802;Expertise et support en systèmes d'information;36061
M1802;Expertise et support en systèmes d'information;36075
M1802;Expertise et support en systèmes d'information;36146
