annee_mois;code_rncp;intitule_certification;siret_of_contractant;entrees_formation
2026-02;38905;Manager de projets informatiques;81540720000022;2
2024-10;37674;TP Développeur web et web mobile;18640005700078;2
2025-10;38997;MASTER Réseaux et télécommunication (fiche nationale);19730858800015;3
2024-04;37837;Data analyst;49386136300080;9
2024-11;37674;TP Développeur web et web mobile;82806584700026;1
2024-12;39376;Manager de projet intelligence artificielle;18009202500139;5
2024-07;37873;TP Concepteur développeur d'applications;89333944000040;2
2025-06;37873;TP Concepteur développeur d'applications;81227101300045;2
2026-05;38779;Manager en infrastructures et cybersécurité des systèmes d'information;34270750200130;1
2024-06;37674;TP Développeur web et web mobile;91003733200012;2
2026-02;37873;TP Concepteur développeur d'applications;39280706100024;2
2024-03;37674;TP Développeur web et web mobile;91354379900013;10
2024-07;38616;Concepteur développeur en intelligence artificielle et analyse big data;81478644800047;4
2024-10;38145;Développeur informatique;49386136300080;40
2026-04;37682;TP Technicien supérieur systèmes et réseaux;82409268800178;1
2023-03;36061;TP Administrateur système DevOps;53497556000028;3
2023-05;36061;TP Administrateur système DevOps;53497556000028;2
2026-05;39485;MASTER Intelligence artificielle (fiche nationale);13003051300019;3
2025-05;36061;TP Administrateur système DevOps;81227101300045;6
2025-07;37837;Data analyst;49386136300080;3
2024-08;36061;TP Administrateur système DevOps;91114836900018;3
2025-08;37674;TP Développeur web et web mobile;89333944000016;1
2024-11;38478;Coordinateur de projets informatiques (infrastructures cloud, applicatives ou data);71205752000082;1
2025-08;37682;TP Technicien supérieur systèmes et réseaux;79322566500017;1
2024-04;38145;Développeur informatique;49386136300080;22
2026-03;37674;TP Développeur web et web mobile;53018898600059;7
2024-09;36146;Concepteur développeur de solutions digitales;90477538400020;2
2026-03;38587;Expert en ingénierie de l'intelligence artificielle;83145006900024;8
2025-12;40150;Manager de Projet Web Digital;82143140000034;1
2024-02;37805;Développeur Web;82815451800025;3
2025-02;36061;TP Administrateur système DevOps;90224737800026;2
2024-05;37674;TP Développeur web et web mobile;82806584700026;1
2025-10;37682;TP Technicien supérieur systèmes et réseaux;85289592900010;6
