siret;nom_raison_sociale;code_postal;departement
81540720000022;EXXEA;13013;13
18640005700078;CHAMBRE DE COMMERCE ET D'INDUSTRIE BAYONNE PAYS BASQUE;64100;64
19730858800015;UNIVERSITE SAVOIE MONT BLANC;73000;73
49386136300080;OPENCLASSROOMS;75001;75
82806584700026;CITYZ'FORMATION;92400;92
18009202500139;INSTITUT MINES-TELECOM;91120;91
89333944000040;ACTUAL DIGITAL OUEST;53000;53
81227101300045;AMBIENT IT;93500;93
34270750200130;CESI SAS;92800;92
91003733200012;META ACADEMY;95870;95
39280706100024;ENI ECOLE;44800;44
91354379900013;MON CENTRE REFERENCE;13240;13
81478644800047;FAST;13001;13
82409268800178;AFPA ENTREPRISES;93100;93
53497556000028;MACERTIF;75012;75
13003051300019;UNIVERSITE DE RENNES;35700;35
91114836900018;STUDI;75011;75
89333944000016;ACTUAL DIGITAL OUEST;53000;53
71205752000082;INSTIT PROMOT EDUCAT ENSEIGNE CONSEIL;75010;75
79322566500017;NTIC CENTER CORPORATION;92600;92
53018898600059;SKILL AND YOU;92300;92
90477538400020;LEARNING DIGITAL GROUP;75002;75
83145006900024;DATASCIENTEST;75016;75
82143140000034;LA BOX ACADEMIE;34200;34
82815451800025;SKILLS4ALL;75008;75
90224737800026;DEVFORMA;75002;75
85289592900010;ECOLE O'CLOCK;75008;75
82386023400041;LA CAPSULE;69003;69
34022316300023;CNAM BOURGOGNE FRANCHE-COMTE;90000;90
79494991700114;LE WAGON;75010;75
49386136300098;OPENCLASSROOMS;75001;75
91213498800019;AMA FORMATION;13008;13
83944819800037;ELORRI;59800;59
83186635500017;LE CAMPUS NUMERIQUE IN THE ALPS.;38000;38
89739259300017;BOOTCAMP FORMATION;92230;92
79841311800018;DATA TECHNOLOGIES EUROPE COMMUNICATIONS SERVICES - D.E.C.S. - DATATECH;07100;07
89021350700019;ALT;35000;35
90133114000011;FRANCE FORMATION;31000;31
89055839800032;PROFORMEA;34970;34
89015354700025;EVENT ORIZON;11190;11
90242714500013;[NON-DIFFUSIBLE];[NON-DIFFUSIBLE];75
82386023400033;LA CAPSULE;69003;69
89034821200022;MB INSTITUT;92100;92
38876048000011;GROUPE JPL;91800;91
79492606300254;INNOV'EDUC;75020;75
44158313500047;NEXT FORMATION;94300;94
83052386600010;LA PISCINE;33300;33
83872651100044;JEDHA;75003;75
84879068900014;EXPERTAIDE;91830;91
19594403800205;UNIVERSITE DU LITTORAL COTE D'OPALE;59140;59
35119111900160;AFTEC;35000;35
90152954500013;CODELAB NICE;06000;06
89021350700027;ALT;35000;35
90004993300014;HDA LEARNING;75017;75
83038992000034;THE HACKING PROJECT;75008;75
79938326000012;Z.L.I ENGINEERING;59650;59
34270750200569;CESI SAS;92800;92
79841497500010;CEFII;49240;49
44320628900045;ASSOCIATION DE GESTION DU CONSERVATOIRE NATION DES ARTS ET METIERS AUVERGNE-RHONE-ALPES;69007;69
51077652900040;;31100;31
82277112700021;LE REACTEUR;75020;75
79492606300296;INNOV'EDUC;75020;75
84505338800029;BLENT.AI;75008;75
39039183700031;INSTITUT DE MANAGEMENT DE L'ECOLE SUPERIEURE DE GESTION - IMESG;75011;75
19311381800150;INSTITUT NATIONAL POLYTECHNIQUE DE TOULOUSE;31400;31
90446333800015;SOURCE DU SAVOIR;75017;75
82434427900149;CNAM NOUVELLE-AQUITAINE - ASSOCIATION DE GESTION;33130;33
44321186700116;VISIPLUS;06410;06
84953220500036;ADA SCHOOL;75010;75
70202279900028;H3;75009;75
81380459800015;DCF;04510;04
95119874600012;E-PETITPAS.PRO;75008;75
38480937200046;INSTITUT FRANCAIS DES AFFAIRES;57000;57
34270750200627;CESI SAS;92800;92
34270750200718;CESI SAS;92800;92
90986649300010;ONE LEARN;75002;75
82409268800210;AFPA ENTREPRISES;93100;93
91021173900016;CENTER FORMATION;34070;34
91273345800018;WEFOR;92160;92
92051978200022;GLOBAL DIGITAL UNIVERSITY;68100;68
19754692200018;UNIVERSITE PARIS DAUPHINE;75016;75
48908897100077;ICADEMIE;83000;83
84501436400010;E-CATALYST;59600;59
48908897100093;ICADEMIE;83000;83
88752731500014;B2D2;59000;59
90355382400017;FORMATECH;76100;76
89058198600027;ALEGRIA.TECH;92110;92
42998754800162;DAWAN;44200;44
34270750200502;CESI SAS;92800;92
82409268800244;AFPA ENTREPRISES;93100;93
90493432000014;OPEN FORMA;75016;75
79492606300247;INNOV'EDUC;75020;75
90819720500010;CJ CONSULTING;75001;75
